size,bubble_sort,insertion_sort,selection_sort,merge_sort,quick_sort_array,quick_sort_in_place,
2041,0.0136764,0.0022452,0.0154752,0.0002576,0.0012628,0.0012468,
2187,0.0155174,0.0025936,0.0180198,0.0002552,0.0013716,0.0013746,
2344,0.0179648,0.0029992,0.0203316,0.0002726,0.0014236,0.0014496,
2511,0.020569,0.0033702,0.0232162,0.000292,0.0015272,0.0015438,
2691,0.0240736,0.0039272,0.0276688,0.0003222,0.0016286,0.0016172,
2884,0.0276702,0.0044068,0.0309182,0.0003418,0.0018128,0.001716,
3090,0.0319608,0.005016,0.035349,0.0003648,0.001927,0.0018094,
3311,0.036901,0.0058314,0.040623,0.000394,0.0020746,0.0019562,
3548,0.0429888,0.0067718,0.0467532,0.0004326,0.0022432,0.0020708,
3801,0.049757,0.007698,0.053143,0.000459,0.0024044,0.0022536,
4073,0.0571318,0.0089776,0.0612932,0.0004948,0.0025962,0.002545,
4365,0.0660852,0.0101442,0.0706236,0.0005348,0.0027668,0.002647,
4677,0.0758964,0.0116272,0.0808448,0.0005784,0.0029534,0.002827,
5011,0.088166,0.0133312,0.0937662,0.0006284,0.0032112,0.0030392,
5370,0.102026,0.015382,0.106391,0.000673,0.003435,0.0032796,
5754,0.116472,0.0176574,0.12217,0.000727,0.0036956,0.0035078,
6165,0.134566,0.019976,0.139973,0.0007676,0.0038886,0.0037768,
6606,0.156448,0.0229596,0.160625,0.0008346,0.0042056,0.0041676,
7079,0.182728,0.0267396,0.186436,0.000895,0.004555,0.00422,
7585,0.207309,0.0301448,0.213915,0.0009956,0.0049086,0.0045736,
8128,0.240924,0.0351834,0.245765,0.0010446,0.005154,0.0049412,
8709,0.27696,0.0403384,0.285421,0.0011668,0.0055844,0.005358,
9332,0.320095,0.047073,0.329418,0.0012234,0.0060704,0.0057062,
10000,0.370534,0.0529342,0.370304,0.001339,0.0064608,0.0061486,
10715,0.427249,0.0614232,0.43143,0.0014402,0.0069148,0.0066236,
11481,0.500152,0.0730662,0.498537,0.001554,0.0073828,0.0071468,
12302,,0.0791664,0.561866,0.0016846,0.007958,0.007788,
13182,,0.0916946,,0.0017802,0.0084646,0.0080054,
14125,,0.104272,,0.0018828,0.0090758,0.0086324,
15135,,0.120635,,0.00222,0.0096148,0.0092988,
16218,,0.1378,,0.0022176,0.0106224,0.0107652,
17378,,0.157426,,0.002468,0.0111096,0.0106474,
18620,,0.181362,,0.0026694,0.011822,0.0113916,
19952,,0.207797,,0.0028588,0.0126874,0.0121974,
21379,,0.237395,,0.0030832,0.0136568,0.0132322,
22908,,0.2722,,0.0034228,0.014711,0.01409,
24547,,0.322073,,0.0035486,0.0161798,0.0152736,
26302,,0.37147,,0.0037582,0.0174598,0.0176098,
28183,,0.424156,,0.0041064,0.018215,0.0175578,
30199,,0.484312,,0.0044246,0.0196294,0.018742,
32359,,0.54956,,0.0047626,0.0209024,0.0202426,
34673,,,,0.005154,0.0223074,0.0214922,
37153,,,,0.005602,0.0240186,0.0230514,
39810,,,,0.0059506,0.0262354,0.0248068,
42657,,,,0.0064734,0.0278692,0.0268956,
45708,,,,0.0069978,0.0297512,0.0286768,
48977,,,,0.0073646,0.0317244,0.030606,
52480,,,,0.0078982,0.0344492,0.0325092,
56234,,,,0.0085106,0.0366734,0.0348328,
60255,,,,0.0092436,0.0388638,0.0383178,
64565,,,,0.0098836,0.0419342,0.0402436,
69183,,,,0.0107318,0.0448696,0.0431694,
74131,,,,0.0117156,0.0482828,0.0462434,
79432,,,,0.0124416,0.0526568,0.0496252,
85113,,,,0.013541,0.0564606,0.053336,
91201,,,,0.0143814,0.0600312,0.0573144,
97723,,,,0.0153442,0.0647644,0.062028,
104712,,,,0.016638,0.0701282,0.0660926,
112201,,,,0.0179594,0.074451,0.0714024,
120226,,,,0.0195582,0.0804606,0.076261,
128824,,,,0.0210158,0.0856218,0.0833048,
138038,,,,0.0222174,0.0918264,0.0870166,
147910,,,,0.0249364,0.100307,0.0927316,
158489,,,,0.0256946,0.104713,0.100888,
169824,,,,0.0280692,0.121932,0.114099,
181970,,,,0.0299706,0.124933,0.116375,
194984,,,,0.0318488,0.130454,0.123241,
208929,,,,0.0347972,0.139331,0.134366,
223872,,,,0.0384432,0.150784,0.141422,
239883,,,,0.0395574,0.162526,0.179393,
257039,,,,0.0428812,0.17118,0.174165,
275422,,,,0.0467726,0.186765,0.175257,
295120,,,,0.0506114,0.196488,0.190436,
316227,,,,0.054262,0.212775,0.20543,
338844,,,,0.0573614,0.228342,0.215579,
363078,,,,0.0629224,0.244864,0.233798,
389045,,,,0.067293,0.263306,0.252483,
416869,,,,0.0720554,0.281931,0.267667,
446683,,,,0.0762556,0.300119,0.286108,
478630,,,,0.0830286,0.328591,0.312214,
512861,,,,0.0904134,0.346814,0.331097,
549540,,,,0.0978972,0.380755,0.361489,
588843,,,,0.105544,0.412006,0.395306,
630957,,,,0.113427,0.438108,0.413355,
676082,,,,0.118973,0.462255,0.449834,
724435,,,,0.131579,0.497704,0.470079,
776247,,,,0.137014,0.530851,0.50066,
831763,,,,0.147602,,,
891250,,,,0.159103,,,
954992,,,,0.171688,,,
1023292,,,,0.184381,,,
1096478,,,,0.198308,,,
1174897,,,,0.215404,,,
1258925,,,,0.231857,,,
1348962,,,,0.247204,,,
1445439,,,,0.268035,,,
1548816,,,,0.286154,,,
1659586,,,,0.312065,,,
1778279,,,,0.33162,,,
1905460,,,,0.357294,,,
2041737,,,,0.384679,,,
